weight,rmse,precision_at_10,recall_at_10,coverage_at_10,popularity_percentile_at_10
0.0,0.9483143062346019,0.014467592592592593,0.023055196312945593,0.14222222222222222,0.5794723428161326
0.1,0.9496079884034688,0.01712962962962963,0.02893639930063006,0.16380952380952382,0.5955599381147348
0.2,0.9532613948901615,0.02175925925925926,0.03511700034937573,0.19746031746031745,0.6376353004847286
0.3,0.9592475642158158,0.02280092592592593,0.035245639338397146,0.2507936507936508,0.6783838357099157
0.4,0.9675231981910308,0.023379629629629632,0.03651049341301,0.293968253968254,0.6898667290225422
0.5,0.9780301814051604,0.022106481481481484,0.03466383664057778,0.33396825396825397,0.6848053143677351
0.6,0.9906975217284067,0.020949074074074075,0.03194726254874032,0.38412698412698415,0.6681717374935292
0.7,1.0054435690261232,0.01828703703703704,0.02831720662106944,0.413968253968254,0.6480452756600311
0.8,1.022178364352795,0.015856481481481482,0.024726894971214528,0.43873015873015875,0.6252167749070544
0.9,1.0408059827478453,0.014467592592592593,0.023083991830426056,0.45904761904761904,0.6054045190361899
1.0,1.0612267552291763,0.01273148148148148,0.019944222800134147,0.45015873015873015,0.6170310220480965
