model,variant,split,metric,k,value,n_users,n_ratings,seed,run_id,timestamp
global_mean,default,test,rmse,,1.214944435139004,943,20000,20260903,20260904T065729,1788485250
global_mean,default,test,mae,,1.0065308604239276,943,20000,20260903,20260904T065729,1788485250
global_mean,default,test,precision_at_k,5.0,0.023178807947019868,906,0,20260903,20260904T065729,1788485250
global_mean,default,test,recall_at_k,5.0,0.011582876766313704,906,0,20260903,20260904T065729,1788485250
global_mean,default,test,coverage,5.0,0.011428571428571429,906,0,20260903,20260904T065729,1788485250
global_mean,default,test,mean_popularity,5.0,117.40573951434878,906,0,20260903,20260904T065729,1788485250
global_mean,default,test,popularity_percentile,5.0,0.8027819618468994,906,0,20260903,20260904T065729,1788485250
global_mean,default,test,gini,5.0,0.996214863870493,906,0,20260903,20260904T065729,1788485250
global_mean,default,test,precision_at_k,10.0,0.02328918322295806,906,0,20260903,20260904T065729,1788485250
global_mean,default,test,recall_at_k,10.0,0.023571874039861232,906,0,20260903,20260904T065729,1788485250
global_mean,default,test,coverage,10.0,0.01904761904761905,906,0,20260903,20260904T065729,1788485250
global_mean,default,test,mean_popularity,10.0,140.48763796909492,906,0,20260903,20260904T065729,1788485250
global_mean,default,test,popularity_percentile,10.0,0.8342546934035697,906,0,20260903,20260904T065729,1788485250
global_mean,default,test,gini,10.0,0.9923363817933354,906,0,20260903,20260904T065729,1788485250
global_mean,default,test,precision_at_k,20.0,0.0195364238410596,906,0,20260903,20260904T065729,1788485250
global_mean,default,test,recall_at_k,20.0,0.03829952599811451,906,0,20260903,20260904T065729,1788485250
global_mean,default,test,coverage,20.0,0.031746031746031744,906,0,20260903,20260904T065729,1788485250
global_mean,default,test,mean_popularity,20.0,120.32295805739514,906,0,20260903,20260904T065729,1788485250
global_mean,default,test,popularity_percentile,20.0,0.7993522640255141,906,0,20260903,20260904T065729,1788485250
global_mean,default,test,gini,20.0,0.9853509232979432,906,0,20260903,20260904T065729,1788485250
user_mean,default,test,rmse,,1.15698291241057,943,20000,20260903,20260904T065729,1788485250
user_mean,default,test,mae,,0.9270676518655964,943,20000,20260903,20260904T065729,1788485250
