model,variant,split,metric,k,value,n_users,n_ratings,seed,run_id,timestamp
most_popular,default,temporal,coverage,5.0,0.02666666666666667,906,0,20260903,20260904T070002,1788485404
most_popular,default,temporal,mean_popularity,5.0,417.3037527593819,906,0,20260903,20260904T070002,1788485404
most_popular,default,temporal,popularity_percentile,5.0,0.9964859429302322,906,0,20260903,20260904T070002,1788485404
most_popular,default,temporal,gini,5.0,0.9924981253722975,906,0,20260903,20260904T070002,1788485404
most_popular,default,temporal,precision_at_k,10.0,0.06567328918322296,906,0,20260903,20260904T070002,1788485404
most_popular,default,temporal,recall_at_k,10.0,0.06821031389871443,906,0,20260903,20260904T070002,1788485404
most_popular,default,temporal,coverage,10.0,0.0419047619047619,906,0,20260903,20260904T070002,1788485404
most_popular,default,temporal,mean_popularity,10.0,370.3584988962472,906,0,20260903,20260904T070002,1788485404
most_popular,default,temporal,popularity_percentile,10.0,0.9935487264067588,906,0,20260903,20260904T070002,1788485404
most_popular,default,temporal,gini,10.0,0.9870099162549494,906,0,20260903,20260904T070002,1788485404
most_popular,default,temporal,precision_at_k,20.0,0.05733995584988963,906,0,20260903,20260904T070002,1788485404
most_popular,default,temporal,recall_at_k,20.0,0.11313694445433484,906,0,20260903,20260904T070002,1788485404
most_popular,default,temporal,coverage,20.0,0.0673015873015873,906,0,20260903,20260904T070002,1788485404
most_popular,default,temporal,mean_popularity,20.0,318.2609271523179,906,0,20260903,20260904T070002,1788485404
most_popular,default,temporal,popularity_percentile,20.0,0.988400778657601,906,0,20260903,20260904T070002,1788485404
most_popular,default,temporal,gini,20.0,0.9775688706682084,906,0,20260903,20260904T070002,1788485404
content,default,temporal,rmse,,1.1422398232019113,943,20000,20260903,20260904T070002,1788485406
content,default,temporal,mae,,0.9093152757515338,943,20000,20260903,20260904T070002,1788485406
content,default,temporal,precision_at_k,5.0,0.02097130242825607,906,0,20260903,20260904T070002,1788485406
content,default,temporal,recall_at_k,5.0,0.009559697544673989,906,0,20260903,20260904T070002,1788485406
content,default,temporal,coverage,5.0,0.33396825396825397,906,0,20260903,20260904T070002,1788485406
content,default,temporal,mean_popularity,5.0,71.39602649006622,906,0,20260903,20260904T070002,1788485406
content,default,temporal,popularity_percentile,5.0,0.6348534827817375,906,0,20260903,20260904T070002,1788485406
content,default,temporal,gini,5.0,0.8714850555380357,906,0,20260903,20260904T070002,1788485406
content,default,temporal,precision_at_k,10.0,0.020088300220750557,906,0,20260903,20260904T070002,1788485406
content,default,temporal,recall_at_k,10.0,0.019303685284862936,906,0,20260903,20260904T070002,1788485406
content,default,temporal,coverage,10.0,0.4552380952380952,906,0,20260903,20260904T070002,1788485406
