bin_low,bin_high,users,median_history,best_weight,best_precision,precision_at_weight_zero,precision_at_weight_one,fitted_intercept,fitted_slope,fitted_weight
1,20,155,17.0,0.7,0.003870967741935484,0.0032258064516129032,0.0032258064516129032,1.969067766467822,-0.5500066402897789,0.5937148997150262
21,40,220,30.0,0.4,0.014545454545454552,0.00681818181818182,0.006363636363636364,1.969067766467822,-0.5500066402897789,0.5200771992187072
41,100,247,66.0,0.3,0.03117408906882589,0.019028340080971665,0.013765182186234824,1.969067766467822,-0.5500066402897789,0.41494956011831174
101,250,213,145.0,0.5,0.03990610328638494,0.020657276995305167,0.02112676056338028,1.969067766467822,-0.5500066402897789,0.31605765620927223
251,100000,29,282.0,0.2,0.062068965517241385,0.04827586206896552,0.041379310344827586,1.969067766467822,-0.5500066402897789,0.2430618672321967
