kind,model_a,model_b,metric,difference,lower,upper,excludes_zero
point,global_mean,,rmse,1.2147071765561839,1.1766429034070796,1.2577480143355428,
point,global_mean,,precision_at_10,0.023254256131350657,0.019693569547452605,0.026704610606784515,
point,user_mean,,rmse,1.1568800141751623,1.1310910776270313,1.1851973658445776,
point,user_mean,,precision_at_10,0.023254256131350657,0.019693569547452605,0.026704610606784515,
point,item_mean,,rmse,1.0909515578073126,1.0563451888572752,1.1321267223260292,
point,item_mean,,precision_at_10,0.043378186358455875,0.03807881087733693,0.048788546255506604,
point,most_popular,,rmse,1.2147071765561839,1.1766429034070796,1.2577480143355428,
point,most_popular,,precision_at_10,0.06562826883684525,0.059185806025292796,0.07278787576089422,
point,content,,rmse,1.1421769262567751,1.117438369194419,1.168737411291704,
point,content,,precision_at_10,0.02006811608954898,0.017052906976744192,0.023170933613309647,
point,item_knn,,rmse,1.0156412782516313,0.9899815991974933,1.0448630147308753,
point,item_knn,,precision_at_10,0.03562268930965786,0.03106808380221155,0.040536441971970705,
point,item_knn_ranking,,rmse,1.1151461438415804,1.0837907447180228,1.154046760264563,
point,item_knn_ranking,,precision_at_10,0.04537550650099051,0.040289561275284456,0.05111730482912387,
point,mf,,rmse,0.987318978368458,0.963918441523449,1.0123813292146147,
point,mf,,precision_at_10,0.026640862829221453,0.022777014652014652,0.03056913560126354,
point,mf_ranking,,rmse,1.0098854724118833,0.9894239259730357,1.032425674925697,
point,mf_ranking,,precision_at_10,0.04516628953244721,0.03993379055196756,0.05082643346752258,
difference,content,global_mean,rmse,-0.07253025029940874,-0.1127061328415417,-0.039527054858796803,True
difference,content,item_knn,rmse,0.12653564800514394,0.1008543311158558,0.14595982871846522,True
difference,content,item_knn_ranking,rmse,0.02703078241519485,-0.015746979471372453,0.06155770527744686,False
difference,content,item_mean,rmse,0.05122536844946255,0.010145812524325956,0.08472049910561398,True
difference,content,mf,rmse,0.15485794788831725,0.13314138895462355,0.17353856425045416,True
difference,content,mf_ranking,rmse,0.1322914538448919,0.11494855252103098,0.14826435280031913,True
difference,content,most_popular,rmse,-0.07253025029940874,-0.1127061328415417,-0.039527054858796803,True
difference,content,user_mean,rmse,-0.01470308791838728,-0.019584637897498796,-0.009789824919131353,True
difference,global_mean,item_knn,rmse,0.19906589830455268,0.17477676381490906,0.22688456259804707,True
difference,global_mean,item_knn_ranking,rmse,0.09956103271460358,0.07981005095318047,0.12124456976469762,True
difference,global_mean,item_mean,rmse,0.12375561874887128,0.11167142791817354,0.1368423734819045,True
difference,global_mean,mf,rmse,0.22738819818772601,0.19900327058277978,0.2579392986287443,True
difference,global_mean,mf_ranking,rmse,0.20482170414430062,0.17509551343730742,0.23852547280322017,True
difference,global_mean,most_popular,rmse,0.0,0.0,0.0,False
difference,global_mean,user_mean,rmse,0.05782716238102145,0.02674393378113473,0.09683328811660247,True
difference,item_knn,item_knn_ranking,rmse,-0.09950486558994907,-0.1217060680483467,-0.07779945241810142,True
difference,item_knn,item_mean,rmse,-0.07531027955568137,-0.09853159201956786,-0.0537472934529375,True
difference,item_knn,mf,rmse,0.02832229988317332,0.02076524245973369,0.03675273304164236,True
difference,item_knn,mf_ranking,rmse,0.005755805839747962,-0.003928857300766097,0.018507139825920477,False
difference,item_knn,most_popular,rmse,-0.19906589830455268,-0.22688456259804707,-0.17477676381490906,True
difference,item_knn,user_mean,rmse,-0.1412387359235312,-0.16136215177917437,-0.11479512033955484,True
difference,item_knn_ranking,item_mean,rmse,0.024194586034267697,0.012090771977274567,0.03584538300910237,True
difference,item_knn_ranking,mf,rmse,0.12782716547312242,0.10572678314596624,0.152903219086429,True
difference,item_knn_ranking,mf_ranking,rmse,0.10526067142969706,0.07921653814011617,0.1350558227686017,True
difference,item_knn_ranking,most_popular,rmse,-0.09956103271460358,-0.12124456976469762,-0.07981005095318047,True
difference,item_knn_ranking,user_mean,rmse,-0.04173387033358213,-0.07748893351017766,0.0022403617692182305,False
difference,item_mean,mf,rmse,0.10363257943885472,0.08006035638592214,0.1294241954207025,True
difference,item_mean,mf_ranking,rmse,0.08106608539542935,0.054871004311343737,0.11269140826245079,True
difference,item_mean,most_popular,rmse,-0.12375561874887128,-0.1368423734819045,-0.11167142791817354,True
difference,item_mean,user_mean,rmse,-0.06592845636784982,-0.10044545378706533,-0.0245073509130709,True
difference,mf,mf_ranking,rmse,-0.022566494043425357,-0.02862747140164648,-0.015341309593002906,True
difference,mf,most_popular,rmse,-0.22738819818772601,-0.2579392986287443,-0.19900327058277978,True
difference,mf,user_mean,rmse,-0.16956103580670456,-0.1898501651841525,-0.14593599241240257,True
difference,mf_ranking,most_popular,rmse,-0.20482170414430062,-0.23852547280322017,-0.17509551343730742,True
difference,mf_ranking,user_mean,rmse,-0.1469945417632792,-0.16459209642505093,-0.12856916106628327,True
difference,most_popular,user_mean,rmse,0.05782716238102145,0.02674393378113473,0.09683328811660247,True
difference,content,global_mean,precision_at_10,-0.00318614004180168,-0.007641407798100934,0.001424073345846343,False
difference,content,item_knn,precision_at_10,-0.015554573220108878,-0.02106002634442055,-0.010332958287596049,True
difference,content,item_knn_ranking,precision_at_10,-0.02530739041144154,-0.030974501357713572,-0.01969253135155779,True
difference,content,item_mean,precision_at_10,-0.023310070268906906,-0.029158117790128644,-0.017290174165282498,True
difference,content,mf,precision_at_10,-0.006572746739672478,-0.011408010788093143,-0.0024279228851200605,True
difference,content,mf_ranking,precision_at_10,-0.02509817344289823,-0.03132550200803213,-0.0194009630539898,True
difference,content,most_popular,precision_at_10,-0.04556015274729626,-0.05284430210962427,-0.038619564483945296,True
difference,content,user_mean,precision_at_10,-0.00318614004180168,-0.007641407798100934,0.001424073345846343,False
difference,global_mean,item_knn,precision_at_10,-0.0123684331783072,-0.017268438079313726,-0.00740669358786099,True
difference,global_mean,item_knn_ranking,precision_at_10,-0.02212125036963986,-0.027667567567567563,-0.016962305986696236,True
difference,global_mean,item_mean,precision_at_10,-0.020123930227105225,-0.02568747215006902,-0.014378708720330235,True
difference,global_mean,mf,precision_at_10,-0.003386606697870797,-0.007819598788667682,0.0015352567818223985,False
difference,global_mean,mf_ranking,precision_at_10,-0.02191203340109655,-0.02789056169429097,-0.01642881949082361,True
difference,global_mean,most_popular,precision_at_10,-0.04237401270549458,-0.04894261156866501,-0.03639743890977444,True
difference,global_mean,user_mean,precision_at_10,0.0,0.0,0.0,False
difference,item_knn,item_knn_ranking,precision_at_10,-0.009752817191332658,-0.014081027933999993,-0.005739040791496373,True
